RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,Restorative.Sleep..hours.,PPC,MPC,EB,OR,MS,LA,NES,OS,RSI,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,RSI_Level
59,66,49,100,11.98,9.92,8.87,83,26,0,11,3.13,2.25,4.53,2.08,0.15,50,15.7031,9.92,1.71,2.8,2,2.7,3,1,2.1,4.1,2.9,0.305,0,149.175,19.9547018,5.919594906,2838.255903,5812.7,0
55,42,40,49,5.92,5.04,10.26,85,18,0,2,1.68,1.01,2.35,0.88,1.46,75,14.4434,5.04,3.26,4.5,5.1,3.2,4.3,1.8,1.6,2.4,3.6,0.398,0,226.025,48.88084805,5.167904204,6715.874462,6397.32,2
64,75,46,79,9.07,7.24,9.18,80,21,0,3,1.54,0.84,4.86,1.84,1.46,61,17.5195,7.24,3.08,4,4,4,4,3,2,2,2,0.341,157.5,190.75,54.29180092,6.810397942,3738.118433,5767.05,1
55,122,43,74,7.35,6.74,9.13,92,14,2.87,4,1.19,1.3,4.25,0.63,0.3,81,14.707,6.74,1.91,4,4,3,4,4,4,2,4,0.393,332,175.1583333,46.04921616,5.394801043,5678.172516,6156.37,2
67,44,17,24,2.36,2.12,8.81,90,5,2.4,2,0.55,0.39,1.19,0.24,0.25,73,18.1055,2.12,2.92,3,4,4,3,4,3,2,5,0.395,272.5,137.275,48.73364103,5.095602641,5920.593962,5069.13,2
51.8,90.8,71.1,76.2,8.009,7.243,9.489,89.9,11.9,0.813,6.1,2.105,1.431,3.662,0.795,1.038,74.4,15.37525,7.241,2.839,5,6,4,4,2,1.4,1,4,0.385,32,140.275,52.50831488,4.811336685,4409.185969,7417.46,2
53.6,86.7,75.2,78.4,7.636,6.783,8.57,88.7,14.4,7.016,6.5,1.913,1.248,3.579,0.831,0.307,61.2,15.78249,6.962,2.896,3,2,2,4,4,5,6,6,0.313,327.7,158.875,11.69321731,6.259834046,2900.13027,6024.34,0
64,79,58,67,8.1,6.9,10.38,85,25,2.87,6,1.56,1.09,4.25,1.21,1.68,47.9,17.5195,6.9,2.85,3,3,3,3,3,3,3,5,0.296,285.8,182.425,49.53574977,6.05777237,3258.085426,6316.79,0
63,88,94,100,7.49,6.99,6.5,93,12,0,5,1.4,1.27,4.32,0.51,0.4,41,16.6162,8.69,4.58,1.9,2.4,2.6,1.9,1.8,2.3,2.9,1.2,0.301,215.5,211.2,28.0554387,9.513880183,12656.20398,6025.5,0
66,66,34,49,5.51,5.08,10.42,92,11,0,5,1.16,0.75,3.17,0.43,1.68,70,16.3989,5.08,2.18,6,6,6,5,1,1.1,1,1,0.387,0,137.2833333,49.02327979,6.475739311,6395.675477,4601.2,2
80,31,74,100,10.2,8.77,8.46,86,21,2.87,9,2.62,1.92,4.23,1.44,0,69,16.7578,8.77,2.42,4,6,5,4,5,3,1,2,0.366,301.1,138.525,19.66669807,5.931699671,3018.466118,3509.85,2
58,111,69,63,7.82,6.25,9.97,80,12,0,6,2.01,1.13,3.1,1.58,2.29,58,17.6367,6.25,4.22,4,4,4,3,4,3,2,3,0.337,321,151,53.75483032,5.015804763,2960.249209,6128.56,1
61,59,60,57,5.93,5.43,9.55,92,8.8,13.46,3,1.81,0.67,2.95,0.51,0.84,59,16.9922,5.43,2.69,4,5,6,4,2,2,2,2,0.357,0,188.65,14.13698627,6.692373423,5010.722362,5506.22,1
55,71,53,57,6.31,5.7,10.04,90,12,0,4,1.73,1.39,2.58,0.63,1.18,57.2,17.1826,5.7,0,2.2,2.7,2.9,2.4,1.3,1.6,3.3,3.4,0.296,0,253.6,34.65462827,8.179600431,7238.302431,6265.16,0
46,136,71,73,6.7,6.38,8.74,95,7,0,3,2.48,2.11,1.78,0.33,0.25,74,11.543,6.38,0,4,5,4,4,3,4,4,4,0.369,337.3,109.5833333,48.55377644,6.254662288,5663.275421,5070.93,2
55,104,72,72,7.87,7.01,9.79,89,13,0,5,2.27,1.58,3.16,0.87,1.3,72.5,17.1924,7.01,6.11,4,4,3,3,2,2,2,2,0.407,0,147.9,45.39260742,4.82940611,2731.08695,5212.32,2
61,119,90,97,9.96,9.13,9.41,92,17,0,7,3.03,1.44,4.66,0.84,0.75,73,16.9092,9.13,1.57,6,4,4,4,3,2,2,2,0.371,194.7,161.825,52.46011934,4.866999068,4515.571859,6194.46,2
58,77,68,92,9.51,7.97,8.68,84,17,10.11,6,1.98,1.57,4.42,1.55,0,74,15.4102,7.97,3.14,4.2,2,2.4,3,1,2,4.6,3.3,0.346,0,108.3333333,17.80991651,6.889779509,5672.732255,4889.59,1
120,44,48,57,4.42,4.42,7.73,100,4.6,0,0,0,0,4.42,0,0,1,17.86768,4.42,3.67,2.5,3.4,2.7,1.6,5,4.3,4.7,5.3,0.35,764.5,635.1916667,34.61090617,6.712364324,4889.495025,6705.33,1
71,52,20,79,7.86,7.22,9.09,92,10,2.39,7,1.53,1.39,4.3,0.65,0.81,80,18.4692,7.22,2.54,4,4,4,4,3,2,2,2,0.371,237,182.6,46.52327979,6.918834784,5632.910748,4925.14,2
53,133,52,68,7.03,6.5,9.54,92,9.3,9.13,7,2.03,1.08,3.39,0.54,1,88,14.6094,6.5,2.9,4,4,3,4,4,4,2,4,0.368,2550.6,634.0166667,97.26923974,6.529635229,17178.22743,6489.06,2
59,65,72,100,8,7.36,4.35,92,16,0,6,3.06,1.81,2.49,0.65,2.93,82,17.5195,14.44,4.53,3,4,4,3,4,3,2,5,0.377,1905.1,839.8,454.4039982,1.640100597,2977.456021,6829.33,2
50,68,78,86,9.19,8.44,9.82,92,16,2.4,7,2.6,1.66,4.19,0.76,1.33,77.9,15.1172,8.44,4.14,5,6,4,4,2,1.4,1,4,0.403,15,129.15,50.63470745,4.174055119,3939.258683,7201.51,2
53.6,86.7,75.2,78.4,7.636,6.783,8.57,88.7,14.4,7.016,6.5,1.913,1.248,3.579,0.831,0.307,61.2,15.78249,6.962,2.896,3,2,2,4,4,5,6,6,0.313,327.7,158.875,11.69321731,6.259834046,2900.13027,6024.34,0
67,59,40,70,8.6,7.09,10.14,82,33,0,7,2.07,1.42,3.6,1.52,1.63,70,18.6914,7.09,5.38,3,3,3,3,3,3,3,5,0.38,409.8,181.725,51.33242592,6.318911951,4418.68771,6801.6,2
76,30,35,86,7.23,6.7,7.78,93,9.6,1.91,4,1.93,2.01,2.76,0.54,0,63,16.9336,6.7,3.55,2.4,2.5,2.7,1.7,3.3,2.1,2.8,3.3,0.327,233.3,233.4333333,22.51512241,7.466403133,5354.634988,4210.81,1
77,34,5,55,6.45,5.79,10.46,90,14,0,4,1.56,1.36,2.87,0.67,1.95,84,18.8672,5.79,4.47,6,6,6,5,1,1.2,1.1,1,0.399,0,143.025,43.18262726,5.994417672,5300.567094,4943.63,2
80,31,71,85,8.04,7.25,8.51,90,10,10.64,7,2.43,1.77,3.05,0.81,0,69,16.582,7.25,4.51,4,6,5,4,5,3,1,2,0.366,331.9,108.25,15.39631705,7.181221354,6346.508656,3544.4,2
59,113,74,81,8.27,7.81,9.63,94,10.3,0.96,7,1.82,1.85,4.15,0.47,1.41,69,17.6367,7.81,4.09,4,4,4,3,4,3,2,3,0.397,433.5,119.45,60.21013062,6.202454848,3801.317625,6569.01,2
55.5,86.5,73.1,71.8,7.918,7.192,9.998,89.8,14.9,0.814,5.8,2.524,1.631,3.043,0.807,1.597,53.6,16.9458,7.23,3.009,4,5,6,4,2,2,1.9,2,0.337,14,134.075,56.69678321,4.245163532,2767.66358,7026.37,1
51,76,60,69,6.48,5.97,8.61,92,9,2.39,4,1.64,1.1,3.23,0.52,1.64,50.6,16.9922,7.67,3.14,2.2,2.1,2.8,2.1,1.5,2,3.2,3.9,0.278,62,246.55,4.902366479,9.310249666,4514.869953,6135.29,0
50,135,73,90,8.91,8,8.85,90,10,1.91,7,3.24,2.55,2.21,0.93,1.04,73,11.7065,8,2.65,4,5,4,4,3,4,4,4,0.372,2167.5,592.7583333,163.7498619,3.718358554,8351.512693,5451.26,2
77,123,80,48,4.78,4.78,9.96,100,4.5,0,0,0,0,4.78,0,1.37,49,16.92185,4.78,3.49,4,4,3,3,2,2,2,2,0.359,0,167.5,58.7631055,7.091388494,3486.958971,5816.54,1
81,37,12,89,8.13,7.44,8.4,92,17,0,5,2.14,1.55,3.75,0.69,0.15,60,17.7539,7.44,0.7,6,4,4,4,3,2,2,2,0.344,197.5,92.75,39.09865859,5.513261818,2565.585987,3611.08,1
63,61,43,100,11.1,9.55,9.14,86,21,12,10,2.19,2.28,5.08,1.57,0.4,32,16.0742,9.55,3.68,2.7,2,2.5,3,1,2.7,3.6,3,0.285,2295.45,685.7666667,120.9616122,6.620419507,16088.68635,6162.6,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
66,67,40,74,8.96,7.04,9.49,79,25,0,8,2.16,1.05,3.82,1.93,1.04,84,17.4609,7.04,4.05,4,4,4,4,3,2,2,2,0.379,292,163.75,54.58143968,7.082282404,9897.353411,6207.46,2
57,119,45,83,8.59,8.27,9.91,96,6.3,2.87,7,2.17,1.44,4.66,0.33,1.23,86,14.707,8.27,5.05,4,4,3,4,4,4,2,4,0.377,2900.2,717.02,176.9771099,4.350143391,12387.37139,7173.23,2
58.3,108,82.4,77.4,7.984,7.225,9.052,89.8,13.7,0.621,6.1,2.109,1.506,3.699,0.811,0.849,74.8,17.21631,7.231,3.237,3,4,4,3,4,3,2,5,0.384,283,144.7833333,55.4024533,4.68821059,4677.511218,6613.22,2
50,53,58,87,8.96,8.12,9.33,91,11,0,6,2.28,1.9,3.93,0.85,0.69,71,15.5859,8.12,4.62,5,6,4,4,2,1.8,1,4,0.359,3226.4,793.7983333,190.9619105,4.435662655,15629.23435,7065.96,1
53.6,86.7,75.2,78.4,7.636,6.783,8.57,88.7,14.4,7.016,6.5,1.913,1.248,3.579,0.831,0.307,61.2,15.78249,6.962,2.896,3,2,2,4,4,5,6,6,0.313,327.7,158.875,11.69321731,6.259834046,2900.13027,6024.34,0
59.5,73.5,69.3,77,7.924,7.18,9.39,89.9,13.6,1.1,6.5,2.483,1.562,3.054,0.795,1.37,58.8,17.14356,7.18,3.532,3,3,3,3,3,3,3,5,0.319,323.4,147.475,55.59564779,5.199458114,3593.220295,6552.1,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
78,37,9,46,4.98,4.27,9.19,86,8,10.08,5,1.74,1.11,1.42,0.72,1.72,72,18.4131,5.33,4.59,6,6,6,5,1,2.2,2.1,1.4,0.384,3162.3,764.7583333,131.0248085,5.370340307,17378.61372,6343.25,2
81,29,54,70,7.04,6.11,8.77,87,9,2.87,6,2.3,1.85,1.96,0.94,0.57,54,18.3398,6.11,5.79,4,6,5,4,5,3,1,2,0.345,1412.9,626.875,159.3615625,3.703720007,5579.025749,5563.47,1
65,93,45,100,9.71,9.33,9.24,96,11,0,7,2.33,1.88,5.12,0.39,0.93,54,17.4902,9.33,5.13,4,4,4,3,4,3,2,3,0.322,2129.4,732.2583333,179.1311593,4.224100362,9942.279397,6812.73,1
55.5,86.5,73.1,71.8,7.918,7.192,9.998,89.8,14.9,0.814,5.8,2.524,1.631,3.043,0.807,1.597,53.6,16.9458,7.23,3.009,4,5,6,4,2,2,1.9,2,0.337,14,134.075,56.69678321,4.245163532,2767.66358,7026.37,1
51,73,43,32,3.35,3.2,10.15,96,4.5,3.35,2,0.61,0.84,1.75,0.15,1.52,65,16.9922,3.2,2,2.3,2.6,2.2,2.2,3.1,2.3,3.7,3.4,0.366,373.5,280.1166667,25.53821965,8.01117626,6174.539354,6217.87,2
46,136,78,100,9.12,8.53,8.3,94,12,0,6,2.37,2.76,3.4,0.59,0.5,78,12.1914,8.53,3.48,4,5,4,4,3,4,4,4,0.356,352.5,114.5416667,39.42963395,3.738257367,1762.59851,5260.31,1
54.7,116,70.5,78.1,7.944,7.179,9.417,89.9,13.9,0.719,5.9,2.297,1.497,3.321,0.793,1.225,66,17.15504,7.188,2.992,4,4,3,3,2,2,2,2,0.37,0,116.825,54.58143968,4.691781165,3041.827453,6193.73,2
59.8,103.9,74.4,74.7,7.916,7.18,9.613,89.9,13.8,1.39,5.8,2.372,1.504,3.221,0.786,1.375,75.9,17.01855,7.223,3.247,6,4,4,4,3,2,2,2,0.382,152.7,132.15,57.32279471,4.742721746,4615.038446,6621.41,2
54,59,42,98,8.65,7.61,7.79,88,19,13.95,8,2.7,1.81,3.1,1.05,0,38,14.8828,7.61,2.87,4.4,2,3,3,1,2.3,3.6,2,0.278,0,109.9416667,11.15824397,7.119042751,5510.499172,5905.15,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
56.3,106.4,72,76.8,7.976,7.198,9.577,89.8,13.8,0,6.1,2.497,1.571,3.159,0.796,1.386,70.4,16.51172,7.192,2.957,4,4,4,4,3,2,2,2,0.383,143.4,132.15,55.58613083,4.763565806,3041.827453,6247.37,2
54,138,68,81,7.27,6.83,8.41,94,11,2.87,7,1.73,1.3,3.8,0.44,0.65,88,15.4517,6.83,4.28,4,4,3,4,4,4,2,4,0.396,398,112.25,45.64896614,5.808547624,5775.571735,4631.08,2
58.3,108,82.4,77.4,7.984,7.225,9.052,89.8,13.7,0.621,6.1,2.109,1.506,3.699,0.811,0.849,74.8,17.21631,7.231,3.237,3,4,4,3,4,3,2,5,0.384,283,144.7833333,55.4024533,4.68821059,4677.511218,6613.22,2
51,45,33,66,6.25,5.52,8.4,88,8,13.03,2,2.61,1.45,1.46,0.73,0.64,69.5,15.6445,5.52,4.47,5,6,4,4,2,1.6,1,4,0.366,2567,669.2533333,74.57501582,10.76048053,22781.05618,6227.96,2
53.6,86.7,75.2,78.4,7.636,6.783,8.57,88.7,14.4,7.016,6.5,1.913,1.248,3.579,0.831,0.307,61.2,15.78249,6.962,2.896,3,2,2,4,4,5,6,6,0.313,327.7,158.875,11.69321731,6.259834046,2900.13027,6024.34,0
77,25,1,18,2.21,1.77,10.05,80,4,1.43,1,0.14,0.56,1.06,0.45,1.48,18,20.9766,1.77,3.69,3,3,3,3,3,3,3,5,0.369,312.5,226.05,59.22632015,5.312228002,3637.616615,6033.2,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
70,62,42,100,10.11,8.32,8.02,82,20,0,10,2.85,1.73,3.75,1.8,2.06,35,16.5234,10.09,4.08,6,6,6,5,1,1.2,1,1,0.343,0,122.875,52.3291526,4.844675074,3947.443754,5593.96,1
82,30,65,100,11.18,8.88,8.83,79,28,0,11,3.11,2.14,3.62,2.32,1.14,63,17.8125,8.88,1.77,4,6,5,4,5,3,1,2,0.333,282.1,137.4,19.0893478,6.021056727,2717.706828,3802.49,1
68,88,34,70,6.72,5.82,8.37,87,17,0,6,1.63,0.91,3.29,0.91,0,52,17.8418,5.82,2.67,4,4,4,3,4,3,2,3,0.334,236.7,130.675,18.73318035,5.945293119,2727.123887,2739.34,1
55.5,86.5,73.1,71.8,7.918,7.192,9.998,89.8,14.9,0.814,5.8,2.524,1.631,3.043,0.807,1.597,53.6,16.9458,7.23,3.009,4,5,6,4,2,2,1.9,2,0.337,14,134.075,56.69678321,4.245163532,2767.66358,7026.37,1
49,98,82,100,10.29,9.42,7.56,91,16,3.35,7,2.23,2.07,5.12,0.89,2.59,52,16.6455,12.16,3.94,3.1,3,2.8,3.1,4,2.4,2.7,3.2,0.31,234.7,166.525,53.09602886,5.556509538,4287.667422,6181.66,0
46,129,67,99,8.85,7.81,7.87,88,17,13.04,5,2.37,2.05,3.38,1.05,0,72,12.5391,7.81,4.53,4.7,3.5,2.6,3.7,3.8,4,4.6,3.9,0.33,330,110,62.44997998,1.761409692,581.2651983,7151.8,1
52.4,99,55.6,74.5,8.141,7.305,9.242,89.9,13.6,1.876,7,2.249,1.472,3.535,0.823,1.459,71.7,15.73536,7.301,3.375,5,3,3,2,4,2,2,3,0.42,5029,1005.8,478.4095526,2.102382769,10572.88295,8170.5,3
60.8,79.2,74.4,77,8.201,7.29,9.678,89,13.8,0.485,5.9,2.582,1.423,3.246,0.905,1.308,57.8,16.52146,7.298,4.608,3,2.9,2,3.4,3,2.8,3,2.6,0.36,4285,857,462.1092944,1.85453963,7946.702315,6414.5,2
55,68,60,100,10.9,7.73,6.59,71,30,12.55,11,3.04,1.69,3.01,3.18,0.1,37,16.4355,8.99,2.13,4.7,4.9,4.7,3.7,1.7,1,1,1,0.34,5310,1062,165.1363073,6.431050913,34148.88035,6011.4,1
53,55,92,68,7.55,6.3,9.33,83,30,0,7,2,0.97,3.33,1.26,1.65,18,14.7656,6.3,4.31,3.3,4.2,3.4,2.7,3.3,2.3,2,2.6,0.51,1350,675,106.0660172,6.363961031,8591.347391,8198.6,3
66,88,62,82,8.48,7.21,8.74,85,23,0,4,1.87,0.72,4.61,1.29,1,52,17.5195,7.21,5.06,2.4,3.4,2.8,3.5,3.8,3.2,3.3,4,0.42,5370,1074,199.7310692,5.377230515,28875.72786,6706.4,3
50,159,88,80,7.32,6.78,8.46,93,12,3.35,5,2.03,1.21,3.54,0.55,0.73,89,15.4688,6.78,2.92,4,5,4,4,2,2,3,3,0.45,3735,747,370.2296585,2.017666556,7535.984588,6000,3
62,68,76,91,10.81,9.61,10.55,89,28,1.43,7,4.22,2.75,2.64,1.21,2.81,47,17.6953,9.61,2.45,3,4,4,3,4,2,3,4,0.45,5775,1155,304.2819416,3.79582171,21920.87038,7129.1,3
50,64,65,76,7.37,6.87,9.01,93,11,1.92,2,3.01,1.52,2.35,0.51,1.3,81,15,6.87,2.37,5,5,4,5,1,1,2.6,4,0.57,5520,1104,235.8866253,4.680214482,25834.78394,8175.9,3
56.4,84.8,68.5,78.9,8.09,7.207,9.391,89,14.6,1.149,5.8,2.194,1.35,3.7,0.919,1.164,59.3,16.38257,7.277,3.972,3,3,2,3,3,5,6,4,0.317,685,171.25,37.05289013,4.621771727,3165.913633,6366.4,0
67,62,48,100,9.64,7.9,4.95,82,35,0,5,1.62,1.68,4.61,1.75,3.15,54,18.7305,13.88,2.85,3,3,3,3,3,3,3,5,0.39,4760,952,439.9517019,2.163873889,10300.03971,7447.3,2
52.5,118.6,62.7,83.8,7.528,6.672,8.122,89.2,14.7,2.547,6.3,2.254,1.321,3.179,0.82,0.275,72.4,15.61034,6.633,4.242,4.2,4,3.2,3.4,4.3,3.3,4.3,3.8,0.401,485,121.25,45.89389938,2.641963347,1281.352223,2007.7,2
71,60,39,89,6.21,5.35,6.03,86,14,0,5,1.96,1.12,2.27,0.87,0,50,17.7832,7.19,3.76,3.1,3.1,2.7,2.8,3.1,2.8,3.6,4,0.4,1605,401.25,310.1175852,1.293864067,2076.651827,5720.5,2
81,29,59,69,6.7,5.27,7.63,79,18,8.72,3,1.37,1.48,2.42,1.43,0,71,17.6953,5.27,3.75,4,6,4,4,6,3,2,2,0.41,4710,942,507.168611,1.857370467,8748.214901,6209.1,3
56,151,98,100,9.34,8.8,8.83,94,11.7,2.87,6,1.62,1.49,5.69,0.55,1.15,58,18.1055,8.8,0,3,4,3,2,4,3,2,4,0.4,4320,864,460.6978402,1.875415781,8101.796175,6919.5,2
56.7,91.2,68.9,77.4,8.497,7.689,10.1,90,13.2,7.947,6.1,2.709,1.734,3.013,0.875,1.831,69.7,16.75928,7.689,4.811,4,4,4,3,1,1,1,1,0.37,4860,972,235.6002971,4.12563147,20050.56894,5665.9,2
49,113,91,83,7.02,6.79,8.18,97,5.4,0,1,0.76,1.09,4.93,0.24,0,69,16.8164,6.79,1.85,2.4,3.2,2.7,2,1.4,1.8,3.3,3,0.383,0,270.9666667,4.6785696,8.41920631,6268.578644,6278.2,2
46,124,58,85,7.4,6.78,7.97,92,13,5.29,6,2.15,1.83,2.81,0.63,0.05,74,12.1289,6.78,4.33,4.4,5.1,4.4,3.1,2.9,3.8,4,4.1,0.35,403.5,108.1666667,56.08375397,2.940187184,1047.440812,5070.93,1
53,84.9,51.1,77,8.111,7.317,9.634,89.9,12.2,3.267,6.6,2.201,1.452,3.539,0.823,1.143,74.4,15.4287,7.31,3.397,5,3,3,2,4,2,2,3,0.376,162.7,135.275,36.771343,5.918544564,4576.594162,4348.18,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
52,72,60,70,7.46,6.07,8.71,81,10,0,5,2.12,1.04,2.9,1.4,0,52,14.4141,6.07,4.26,5,5.6,5.1,4.6,1.2,1,1,1,0.353,0,150.5,54.30044672,4.818994195,2836.363493,6089.29,1
54,53,76,47,5.83,4.81,10.29,82,17,0,2,1.03,1.05,2.74,1.03,1.58,42,14.2383,4.81,2.3,2.1,2,2.6,2.1,1.3,2.3,2.3,1.3,0.313,0,277.95,14.31855151,9.638657924,8120.52288,6419.86,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
50,146,75,67,7.07,6.3,9.39,89,13,1.91,4,1.94,1.12,3.25,0.77,0.77,89,15.5859,6.3,4.65,4,5,4,4,2,2,3,3,0.428,0,175.2,49.75450517,4.91341764,5442.343007,6562.65,3
66,53,54,100,8.74,8.17,7.5,94,13,2.42,5,1.89,1.99,4.29,0.58,0.45,49,17.7344,9.7,0.5,3,4,4,3,4,2,3,4,0.332,224,187.8,98.164963,4.09822857,2626.195884,5811.81,1
50,89,83,54,5.68,5.29,9.78,93,7,5.27,2,1.7,0.43,3.16,0.39,1.18,78,14.707,5.29,3.32,5,5,4,5,1,1,2.9,4,0.415,57.5,142.1083333,56.97276052,4.667553025,5457.805069,6493.25,3
61.3,92.7,65.2,75.8,8.023,7.151,9.497,89,15.3,1.055,5.6,2.174,1.441,3.556,0.888,1.335,75.5,17.0437,7.149,3.89,3,3,2,3,3,5,6,4,0.36,2461.9,710.3583333,180.1430146,4.133115549,12380.43682,6217.76,2
70,35,21,63,7.8,5.64,8.94,72,24,1.91,5,1.17,1.45,3.02,2.16,0,56,18.2812,5.64,3.24,3,3,3,3,3,3,3,5,0.32,260.2,170.975,52.09133771,5.762933263,3401.332834,5561.37,1
70,44,42,65,6.01,5.45,8.43,91,12,8.65,5,1.84,1.39,2.22,0.57,0.7,57.6,17.4609,5.45,3.06,2,2.7,2,2.4,3.7,2.9,3.5,3.6,0.279,2207.1,675.2583333,80.80813963,9.018714092,17897.25881,6341,0
57,174,83,49,5.34,4.46,9.15,84,5,0,2,1.07,0.24,3.15,0.88,0.54,56,15.4785,4.46,4.32,3.7,3.6,3.1,2.7,3.9,3.3,2.3,3.5,0.38,1051.8,568.1333333,124.2696039,4.302263191,5983.032932,6375.87,2
85,25,39,62,7.76,6.04,9.72,78,18,8.19,6,2.32,1.44,2.27,1.74,1.18,66,18.0762,6.04,3.05,4,6,4,4,6,3,1.9,2,0.391,2859.9,729.325,88.45434811,7.032923763,18257.2433,5736.7,2
55,130,80,75,6.78,6.11,8.11,90,10,5.77,3,1.69,1.07,3.35,0.68,0,67,17.7637,6.11,3.02,3,4,3,2,4,3,2,4,0.388,308.1,250.55,6.304915197,8.210482379,8250.266356,5015.73,2
54.4,84.6,67.5,77.3,8.166,7.334,9.465,89.8,13.7,0.383,6.2,2.19,1.665,3.368,0.82,1.181,54.2,15.86377,7.326,3.195,4,4,4,3,1,1,1,1,0.322,0,154,53.71360389,5.06960384,3507.597651,7024.7,1
51,121,95,91,7.79,7.18,7.9,92,9,2.87,6,2.45,1.88,2.85,0.61,0.83,63,16.9336,8.69,2.88,4.1,4.8,3.8,3.9,3.4,2.8,2.4,2.8,0.363,326.8,101.75,49.93893004,4.672898794,2057.018608,5189.41,2
42,111,52,100,10.78,9.36,8.53,87,15,0,7,2.13,2.65,4.58,1.43,0.58,71,13.0664,9.36,6.97,3.1,4.2,3.6,2.7,3.7,3.6,4.1,4.6,0.331,1971.8,536.7,310.4557163,1.867644209,3202.2933,4186.26,1
53,84.9,51.1,77,8.111,7.317,9.634,89.9,12.2,3.267,6.6,2.201,1.452,3.539,0.823,1.143,74.4,15.4287,7.31,3.397,5,3,3,2,4,2,2,3,0.376,162.7,135.275,36.771343,5.918544564,4576.594162,4348.18,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
57,79,68,80,8.32,7.75,9.63,93,11.1,9.61,8,2.54,1.12,4.08,0.59,1.15,61,14.7852,7.75,3.88,5.8,5,5,4.5,1.8,1,1.1,1,0.337,0,116.4166667,18.64841482,5.825668028,2721.90525,5490.78,1
54,50,80,78,9.49,8.15,10.46,86,36,0,8,2.4,1.85,3.9,1.35,2.03,53,14.209,8.15,4.64,3.2,3.2,2.7,3.3,3.6,3.9,3.9,3.9,0.301,1509.4,723.0916667,210.0031419,3.440975345,4768.033901,6718.11,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
50,125,52,85,9.34,8.33,9.85,89,18,6.75,9,2.64,1.68,4.01,1.02,1.27,58,15.4102,8.33,5.79,4,5,4,4,2,2,3,3,0.361,0,149.1666667,23.63209353,5.385956879,3261.197121,5954.72,2
71,44,42,100,10.63,9.32,7.4,88,24,0,9,2.23,2.41,4.68,1.32,0,47,17.9297,10.39,3.78,3,4,4,3,4,2,3,4,0.309,278.5,186.55,41.21997893,5.725578444,2987.807642,5211.82,0
51,61,54,76,8.44,7.8,10.25,92,12,7.72,5,2.36,1.95,3.49,0.64,1.76,77,15.3223,7.8,4.25,5,5,4,5,1,1,2.9,4,0.47,57.5,139.0583333,27.57234993,5.015836027,3323.890733,7761.54,3
61.3,92.7,65.2,75.8,8.023,7.151,9.497,89,15.3,1.055,5.6,2.174,1.441,3.556,0.888,1.335,75.5,17.0437,7.149,3.89,3,3,2,3,3,5,6,4,0.36,2461.9,710.3583333,180.1430146,4.133115549,12380.43682,6217.76,2
